Title,link,Price,Details
iPhone 16 Pro Max,https://images.ctfassets.net/t00ajdlq0g9p/6pFvog1BF2NEExJQJ6BTpO/ce192b7992ececfb3f0acaaac946dc4d/apple-iPhone16-Pro-Max-natural-pos1.png?h=269&w=403&fm=webp&q=100,$74.96 per mo.,"Taxes extra | $0 down | 24 mos | 0% APR
Full Price: $1,799.00,"
iPhone 16 Pro,https://images.ctfassets.net/t00ajdlq0g9p/29LjRlsJQckbkLztfqgnob/42cd45fbd0411f8e72283793b1ed3266/apple-iPhone16-Pro-white-pos1.png?h=269&w=403&fm=webp&q=100,$62.09 per mo.,"Taxes extra | $0 down | 24 mos | 0% APR
Full Price: $1,490.00,"
iPhone 16,https://images.ctfassets.net/t00ajdlq0g9p/IpQ6dWI2QsH4jqyWqy4is/8dbd8df012ccedd906169146331905b2/apple-iPhone16-pink-pos1.png?h=269&w=403&fm=webp&q=100,$48.38 per mo.,"Taxes extra | $0 down | 24 mos | 0% APR
Full Price: $1,161.00,"
Google Pixel 9,https://images.ctfassets.net/t00ajdlq0g9p/7Ib1oWmom982Dl8EzW4hmK/dcfa45e3a8eec1cd2ad6c531899ce780/google-pixel9-peony-main.png?h=269&w=403&fm=webp&q=100,$20.00 per mo.,"Taxes extra | $0 down | 24 mos | 0% APR
Full Price: $1,287.00,"
iPhone 15,https://images.ctfassets.net/t00ajdlq0g9p/ztqSn4e7eeG5Yro47pfTH/4983b6af18705b9493e70662a88cca8a/apple-15-blue-pos1.png?h=269&w=403&fm=webp&q=100,$42.80 per mo.,"Taxes extra | $0 down | 24 mos | 0% APR
Full Price: $1,027.00,"
iPhone 13,https://images.ctfassets.net/t00ajdlq0g9p/QZsnQ9PfOnsK1cVGreAHH/86f358dddccfea146aa81789a3b761bf/iPhone13-midnight-front.png?h=269&w=403&fm=webp&q=100,$5.00 per mo.,"Taxes extra | $0 down | 24 mos | 0% APR
Full Price: $581.00,"
Samsung Galaxy S22,https://images.ctfassets.net/t00ajdlq0g9p/6jSLjwHXkl68hLt9D2tkr/acadb4b37cad286f412754ad3235c9f7/galaxy-s22-green-front.png?h=269&w=403&fm=webp&q=100,$5.00 per mo.,"Taxes extra | $0 down | 24 mos | 0% APR
Full Price: $915.00,"
Samsung Galaxy S24 FE,https://images.ctfassets.net/t00ajdlq0g9p/56tVvJl21EF0VmU14WjT5h/ee62960c7cb2c3c3b45e5ae0605f1d59/samsung-galaxy-s24FE-main.png?h=269&w=403&fm=webp&q=100,$38.33 per mo.,"Taxes extra | $0 down | 24 mos | 0% APR
Full Price: $1,111.49,"
Google Pixel 9 Pro & Pixel Buds Pro 2 Porcelain Bundle,https://images.ctfassets.net/t00ajdlq0g9p/6n0ZD9RWPoeEIsBDs3zXPy/33636e8d0848e002eb59cf2c8a41c177/Pixel9-buds.png?h=269&w=403&fm=webp&q=100,$68.67 per mo.,"Taxes extra | $0 down | 24 mos | 0% APR
Full Price: $1,879.00,"
Google Pixel 9 Pro,https://images.ctfassets.net/t00ajdlq0g9p/5n2ojahNod5eR2uS3uwkQ0/c578b26e0d671acbb836a01e9879e31b/google-pixel-9-pro-hazel-main.png?h=269&w=403&fm=webp&q=100,$56.21 per mo.,"Taxes extra | $0 down | 24 mos | 0% APR
Full Price: $1,580.00,"
